"","Total.Compensation","GP","GS","G","A","SHTS","SOG","FS","OFF"
"340",816667,1,0,0,0,1,0,0,0
"341",170000,14,10,1,0,7,1,6,0
"342",240996,3,1,0,0,0,0,1,0
"343",683333,25,20,8,8,56,29,29,5
"344",683333,3,2,0,2,5,2,1,1
"345",682500,14,9,3,0,14,8,14,4
"346",76317,0,0,0,0,0,0,0,0
"347",76317,0,0,0,0,0,0,0,0
"348",168000,5,5,0,0,0,0,3,0
"349",239808,24,21,0,3,17,2,13,2
"350",595000,29,29,0,4,5,2,12,0
"351",7e+05,30,24,10,10,70,30,37,4
"352",7e+05,4,4,0,1,8,2,6,1
"353",101375,7,3,0,0,4,0,1,0
"354",68750,0,0,0,0,0,0,0,0
"355",68750,0,0,0,0,0,0,0,0
"356",120050,15,11,0,1,2,1,2,1
"357",2e+06,23,22,2,8,11,5,32,0
"358",125500,0,0,0,0,0,0,0,0
"359",125500,14,0,1,3,10,2,2,0
"360",868996,3,3,0,0,2,0,1,0
"361",868996,27,26,1,0,19,6,10,1
"362",209825,30,30,10,7,33,20,48,3
"363",636942,13,13,0,1,4,1,9,0
"364",54500,0,0,0,0,0,0,0,0
"365",100430,14,10,2,1,26,8,22,10
"366",150000,29,23,0,1,7,0,16,2
"367",67500,1,0,0,0,0,0,0,0
"368",67500,15,9,0,0,2,0,11,1
"369",234500,0,0,0,0,0,0,0,0
"370",234500,0,0,0,0,0,0,0,0
"371",284167,18,8,2,2,12,5,10,2
"372",55654,16,10,1,0,3,1,15,0
"373",55654,0,0,0,0,0,0,0,0
"374",67500,17,15,0,0,5,1,11,2
"375",1e+06,32,29,0,2,4,1,14,1
"376",240000,17,17,1,0,5,1,3,5
"377",83000,0,0,0,0,0,0,0,0
"378",85000,3,0,0,0,0,0,0,0
"379",1387318,5,5,4,1,9,8,9,4
"380",1387318,34,34,31,6,97,56,31,35
"381",104250,30,28,0,2,4,0,26,2
"382",150000,24,10,1,5,28,11,8,2
"383",5e+06,13,12,7,1,26,9,12,10
"384",602500,30,13,3,4,40,13,25,7
"385",241671,28,25,1,2,8,2,8,0
